"cartId";"accountId"
21;547008
27;254772
32;122399
39;221797
40;518648
41;103490
48;664146
51;829786
56;680672
57;218743
64;281069
66;727740
72;712606
74;603068
75;198642
78;385393
88;988682
94;321218
102;485296
114;550363
119;964190
122;15206
124;492921
129;632503
138;655757
149;998125
155;252778
157;96454
167;560219
169;835218
180;805395
181;467108
182;356043
183;521599
191;386653
199;848774
203;683524
204;475456
209;650465
212;505963
213;448254
221;748169
231;565645
234;312289
237;62874
238;728485
246;371534
249;245443
251;914544
255;586289
260;160374
267;205742
278;217592
279;410570
281;864696
282;678376
284;971997
288;599572
289;718113
292;168912
297;904494
299;870604
306;659682
311;462315
323;536695
336;178048
354;139427
358;210564
361;197511
391;551350
395;922133
397;60437
402;577605
406;595344
412;345607
413;377914
417;245125
427;440604
436;230090
438;223826
444;64138
454;434985
456;895870
461;914589
468;394225
471;63664
478;699238
488;336678
493;890779
495;53919
508;564395
517;500256
518;701013
523;72176
527;143347
528;726869
530;357155
533;523136
537;915392
549;82886
553;321962
554;462521
555;499547
557;511011
559;318198
571;398705
584;444934
588;437942
589;493890
603;732308
612;636387
620;574213
631;864961
632;258543
644;45189
647;589543
656;990860
662;735598
669;987852
671;878334
672;230012
679;406148
682;838869
688;389342
697;933474
700;686906
710;616716
720;414891
721;319432
722;253720
723;245816
724;729034
727;452469
729;595828
737;792202
739;504620
743;948531
745;683071
752;845973
759;450832
765;365895
771;514833
774;779825
790;423007
793;894911
799;281465
803;916106
807;988594
809;995931
810;301075
822;758763
830;895465
832;677532
833;517235
837;892184
840;288887
841;495052
850;850763
859;472011
861;507378
867;100702
868;58721
870;715832
878;463163
889;735735
892;464000
902;809945
912;262151
913;385981
914;355218
915;732978
918;982898
924;112574
925;742362
926;529450
929;951866
931;543594
935;107555
941;647049
947;499225
949;636786
957;233817
958;571356
959;663200
964;229055
969;863589
970;450432
975;120862
977;665998
981;622738
985;553216
996;821307
1002;256387
1008;646974
1009;985544
1026;997415
1027;270944
1028;386054
1033;450742
1034;872542
1035;527295
1038;58045
1041;10084
1043;116024
1046;325858
1047;862096
1048;531141
1054;394706
1055;535045
1066;531900
1069;501757
1071;387485
1077;783456
1103;542427
1108;412859
1112;593859
1114;687802
1118;246703
1120;550913
1124;670395
1125;28568
1133;638582
1134;580060
1139;882357
1141;920588
1146;588785
1147;869986
1153;287787
1154;14526
1162;199466
1172;552890
1175;898809
1178;452692
1181;995300
1187;401374
1192;177896
