"id";"shopName";"shopStreet";"shopCity";"shopState";"shopCountry";"shopPhone";"status";"managerName";"avatar"
0;"Christiansen, Tremblay and Kuvalis";"965 Streich Stravenue";"South Leonardstead";"Rhode Island";"Saint Barthelemy";"(+14)48437815";"Offline";"Rudy Johnston";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/115.jpg"
1;"Moen - Pouros";"8303 Bailey Port";"Larkinville";"Colorado";"Honduras";"(+95)62658211";"Online";"Jenna McGlynn";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1179.jpg"
2;"Bradtke - Spinka";"461 Altenwerth Pine";"Port Angelside";"Vermont";"Nepal";"(+27)19676674";"Away";"Merle Kreiger";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/238.jpg"
3;"Schinner and Sons";"97591 Thaddeus Street";"East Goldenchester";"Maryland";"Faroe Islands";"(+94)94321089";"Online";"Derrick Welch";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/648.jpg"
4;"Hansen - Nitzsche";"78533 Green Dale";"Kuvalisworth";"California";"Christmas Island";"(+03)89146722";"Offline";"Brandon Wuckert";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/580.jpg"
5;"Klein and Sons";"7423 Vicente Mission";"Cartwrighthaven";"Oregon";"El Salvador";"(+89)72475732";"Away";"Carole Wiza";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/498.jpg"
6;"Blick, Jones and Williamson";"4507 Labadie Circle";"Napa";"Maine";"Brunei Darussalam";"(+97)60510105";"Offline";"Ms. Jessie O'Reilly";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/512.jpg"
7;"Leannon, Russel and Renner";"06239 Alexandro Throughway";"East Courtney";"Ohio";"Namibia";"(+41)92960147";"Online";"Edwin Bartell";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1012.jpg"
8;"Stracke, O'Conner and Bins";"651 Rempel Wall";"Greggworth";"Maine";"Tanzania";"(+66)14826850";"Offline";"Janet Tillman IV";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/111.jpg"
9;"Parker - Shanahan";"840 Metz Viaduct";"Priceberg";"Kansas";"Belize";"(+24)45798819";"Away";"Ricky Cummings";"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/933.jpg"
